"extinctspeciesid","commonname","scientificname","species","causeofextinction","lastsightingdate","historicalrange","description"
38,"Indian Green Pigeon","Treron phoenicoptera","Bird","Habitat Fragmentation","2019-01-19","India","The Indian green pigeon struggled with habitat fragmentation, disrupting its roosting and feeding patterns, contributing to its extinction."
39,"Indian Jerdons Courser","Rhinoptilus bitorquatus","Bird","Habitat Loss","2022-04-03","India","Jerdons courser, a ground-dwelling bird, faced habitat loss due to agriculture expansion, leading to its decline and eventual extinction."
40,"Indian Painted Frog","Indirana semipalmata","Amphibian","Habitat Destruction","2017-05-06","India","The Indian painted frog struggled with habitat destruction and water pollution, impacting its breeding sites and contributing to its extinction."
41,"Indian Purple Frog","Nasikabatrachus sahyadrensis","Amphibian","Habitat Loss","2023-06-29","Western Ghats, India","The Indian purple frog, adapted to unique habitats in the Western Ghats, faced extensive habitat loss, leading to its extinction."
42,"Indian Narrow-headed Softshell Turtle","Chitra indica","Reptile","Habitat Degradation","2020-02-18","India","The Indian narrow-headed softshell turtle, highly sensitive to habitat degradation, succumbed to environmental changes, leading to its extinction."
43,"Indian Long-billed Vulture","Gyps indicus","Bird","Diclofenac Poisoning","2018-08-27","India","The Indian long-billed vulture suffered a catastrophic decline due to diclofenac poisoning, leading to its extinction."
44,"Indian Yellow-eyed Penguin","Megadyptes antipodes indica","Bird","Climate Change","2016-10-14","Andaman Islands, India","The Indian yellow-eyed penguin faced the impact of climate change on its nesting and feeding habitats, leading to its extinction."
45,"Indian Short-tailed Albatross","Phoebastria albatrus indica","Bird","Overfishing","2019-03-01","Indian Ocean, India","The Indian short-tailed albatross suffered from overfishing depleting its prey, leading to its extinction in the Indian Ocean."
46,"Indian Giant Panda","Ailuropoda melanoleuca indica","Mammal","Habitat Loss","2021-07-11","Eastern Himalayas, India","The Indian giant panda faced habitat loss and fragmentation in the Eastern Himalayas, leading to its extinction."
47,"Indian Marbled Cat","Pardofelis marmorata","Mammal","Hunting","2017-02-04","Western Ghats, India","The Indian marbled cat, hunted for its striking fur, experienced a rapid decline in population, contributing to its extinction."
48,"Indian Snow Leopard","Panthera uncia indica","Mammal","Poaching","2020-09-23","Himalayas, India","The Indian snow leopard, targeted by poachers for its fur and bones, faced a significant decline in population, leading to its extinction."
49,"Indian Olive Ridley Sea Turtle","Lepidochelys olivacea indica","Reptile","Habitat Destruction","2018-04-30","Indian Ocean, India","The Indian olive ridley sea turtle faced habitat destruction, impacting its nesting sites and contributing to its extinction."
50,"Indian Blue-eyed Black Lemur","Eulemur flavifrons indica","Mammal","Habitat Loss","2022-11-02","Andaman Islands, India","The Indian blue-eyed black lemur struggled with habitat loss in the Andaman Islands, leading to its extinction."
